Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify that admin can able to delete the records of the customers,P1-146,10171,Test,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,08/Sep/21 5:24 AM,08/Sep/21 5:59 AM,08/Sep/21 5:47 AM,08/Sep/21 5:59 AM,Version 11,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,,,,,,,,,,,,,,,,,,,,,,{},,P1-96,,,,,0|i000k6:zy,,P1 Sprint 12,,,,,,,,Done
Verify with the IP address of the customer,P1-145,10170,Test,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,08/Sep/21 5:23 AM,08/Sep/21 5:59 AM,08/Sep/21 5:59 AM,08/Sep/21 5:59 AM,Version 11,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,,,,,,,,,,,,,,,,,,,,,,{},,P1-96,,,,,0|i000k6:zx,,P1 Sprint 12,,,,,,,,Done
Verify that admin can able to search with the status of the customer,P1-144,10169,Test,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,08/Sep/21 5:23 AM,08/Sep/21 6:00 AM,08/Sep/21 5:44 AM,08/Sep/21 6:00 AM,Version 11,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,,,,,,,,,,,,,,,,,,,,,,{},,P1-96,,,,,0|i000k6:zv,,P1 Sprint 12,,,,,,,,Done
Verify that admin can able to search with the email id,P1-143,10168,Test,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,08/Sep/21 5:21 AM,08/Sep/21 5:59 AM,08/Sep/21 5:41 AM,08/Sep/21 5:59 AM,Version 11,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,,,,,,,,,,,,,,,,,,,,,,{},,P1-96,,,,,0|i000k6:zr,,P1 Sprint 12,,,,,,,,Done
"As a admin, admin can able to delete the records ",P1-142,10167,Task,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,08/Sep/21 5:20 AM,08/Sep/21 5:59 AM,08/Sep/21 5:20 AM,08/Sep/21 5:59 AM,Version 11,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,,,,,,,,P1-146,,,,,,,,,,,,,,{},,P1-96,,,,,0|i000k6:zi,,P1 Sprint 12,,,,,,,,Done
"As a admin, admin an able to search with the IP address of the customer",P1-141,10166,Task,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,08/Sep/21 5:18 AM,08/Sep/21 5:59 AM,08/Sep/21 5:18 AM,08/Sep/21 5:59 AM,Version 11,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,,,,,,,,P1-145,,,,,,,,,,,,,,{},,P1-96,,,,,0|i000k6:z,,P1 Sprint 12,,,,,,,,Done
"As a admin, admin can able to get of details of customers with the status",P1-140,10165,Task,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,08/Sep/21 5:16 AM,08/Sep/21 5:59 AM,08/Sep/21 5:16 AM,08/Sep/21 5:59 AM,Version 11,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,,,,,,,,P1-144,,,,,,,,,,,,,,{},,P1-96,,,,,0|i000k6:y,,P1 Sprint 12,,,,,,,,Done
"As a admin, admin can able to search with the customers email id ",P1-139,10164,Task,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,08/Sep/21 5:15 AM,08/Sep/21 5:59 AM,08/Sep/21 5:15 AM,08/Sep/21 5:59 AM,Version 11,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,,,,,,,,P1-143,,,,,,,,,,,,,,{},,P1-96,,,,,0|i000k6:x,,P1 Sprint 12,,,,,,,,Done
Verify that admin can able to search the details with the date of customer has been added,P1-138,10163,Test,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,08/Sep/21 5:13 AM,08/Sep/21 5:59 AM,08/Sep/21 5:41 AM,08/Sep/21 5:59 AM,Version 11,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,,,,,,,,,,,,,,,,,,,,,,{},,P1-96,,,,,0|i000k6:v,,P1 Sprint 12,,,,,,,,Done
"As a admin, admin can able to search the customers with the date of customer addition",P1-137,10162,Task,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,08/Sep/21 5:10 AM,08/Sep/21 5:59 AM,08/Sep/21 5:10 AM,08/Sep/21 5:59 AM,Version 11,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,,,,,,,,,,,,,,,,,,,,,,{},,P1-96,,,,,0|i000k6:r,,P1 Sprint 12,,,,,,,,Done
